,x,y,z
308,-28.59375,12.7856,96.97779999999999
309,-28.59375,12.7856,96.99
310,-28.59375,12.7856,96.96865
311,-28.59375,12.7856,97.0571
312,-28.59375,12.7856,96.96255000000001
313,-28.59375,12.7856,96.99
314,-28.59375,12.7856,96.99915
315,-28.59375,12.7856,96.99915
316,-28.59375,12.7856,96.9839
317,-28.59375,12.7856,96.9839
318,-28.59375,12.7856,96.95644999999999
319,-28.59375,12.7856,96.98085
320,-28.59375,12.7856,96.98695000000001
321,-28.59375,12.7856,96.98085
322,-28.59375,12.7856,96.94120000000001
323,-28.59375,12.7856,96.93205
324,-28.59375,12.7856,96.94425000000001
325,-28.59375,12.7856,96.929
326,-28.59375,12.7856,96.95644999999999
327,-28.59375,12.7856,96.98695000000001
328,-28.59375,12.7856,96.96865
329,-28.59375,12.7856,96.97475
330,-28.59375,12.7856,96.95644999999999
331,-28.59375,12.7856,96.98695000000001
332,-28.59375,12.7856,96.9717
333,-28.59375,12.7856,97.0022
334,-28.59375,12.7856,96.99
335,-28.59375,12.7856,97.00525
336,-28.59375,12.7856,96.99915
337,-28.59375,12.7856,96.97475
338,-28.59375,12.7856,96.96255000000001
339,-28.59375,12.7856,96.99915
340,-28.59375,12.7856,96.97779999999999
341,-28.59375,12.7856,97.0022
342,-28.59375,12.7856,97.0022
343,-28.59375,12.7856,96.98695000000001
344,-28.59375,12.7856,97.0022
345,-28.59375,12.7856,96.98695000000001
346,-28.59375,12.7856,96.96865
347,-28.59375,12.7856,96.9595
348,-28.59375,12.7856,96.93205
349,-28.59375,12.7856,96.92595
350,-28.59375,12.7856,96.93509999999999
351,-28.59375,12.7856,96.87715
352,-28.59375,12.7856,96.87105
353,-28.59375,12.7856,96.8863
354,-28.59375,12.7856,96.9961
355,-28.59375,12.7856,96.94120000000001
356,-28.59375,12.7856,96.87715
357,-28.59375,12.7856,96.92595
358,-28.59375,12.7856,96.8985
359,-28.59375,12.7856,97.01745000000001
360,-28.59375,12.7856,96.93815
361,-28.59375,12.7856,97.0205
362,-28.59375,12.7856,96.98085
363,-28.59375,12.7856,96.9961
364,-28.59375,12.7856,96.95644999999999
